Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,56,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.AddEventHandler(System.Reflection.EventInfo,System.Object,System.Delegate)",,,,,"protected override void AddEventHandler(System.Reflection.EventInfo eventInfo, object target, System.Delegate handler)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,46,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.CreateDelegate(System.Type,System.Object,System.String)",,,,,"protected override System.Delegate CreateDelegate(System.Type delegateType, object target, string handler)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,39,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.SetPropertyValue(System.Reflection.PropertyInfo,System.Object,System.Object,System.Globalization.CultureInfo)",,,,,"protected override void SetPropertyValue(System.Reflection.PropertyInfo propertyInfo, object target, object value, System.Globalization.CultureInfo culture)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,32,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.GetPropertyValue(System.Reflection.PropertyInfo,System.Object,System.Globalization.CultureInfo)",,,,,"protected override object GetPropertyValue(System.Reflection.PropertyInfo propertyInfo, object target, System.Globalization.CultureInfo culture)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,24,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.CreateInstance(System.Type,System.Globalization.CultureInfo)",,,,,"protected override object CreateInstance(System.Type type, System.Globalization.CultureInfo culture)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,19,76,M:System.Windows.Markup.InternalTypeHelper.#ctor,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,19,76,T:System.Windows.Markup.InternalTypeHelper,,,,,InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\GeneratedInternalTypeHelper.g.i.cs,16,4,T:XamlGeneratedNamespace.GeneratedInternalTypeHelper,,,,,public sealed GeneratedInternalTypeHelper : System.Windows.Markup.InternalTypeHelper
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,146,12,T:System.Windows.Controls.Button,,,,,this.BtnImport.Click += new System.Windows.RoutedEventHandler(this.BtnImport_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\obj\Debug\Views\Window_CloudImportPreview.g.i.cs,146,12,T:System.Windows.RoutedEventHandler,,,,,this.BtnImport.Click += new System.Windows.RoutedEventHandler(this.BtnImport_Click);
